id,deskripsi_laporan,jenis_infrastruktur,kota_administrasi,tingkat_kerusakan,date_laporan
3148,Jembatan Jalan Casablanca ada bagian yang ambles tidak rata,Jembatan,Jakarta Utara,Sedang,2025-06-06 17:38:10
3149,Ubin trotoar di Jalan Mangga Dua mulai longgar tapi masih aman,Trotoar,Jakarta Timur,Ringan,2025-09-14 12:18:54
3150,Trotoar di jln Daan Mogot ada celah kecil antar ubin perlu diperbaiki,Trotoar,Jakarta Pusat,Ringan,2025-11-23 21:27:40
3151,Drainase Jalan Muara Baru jebol air membanjiri jalan dan rumah warga sekitar,Drainase,Jakarta Utara,Berat,2025-05-23 19:59:57
3152,Lampu jlan Jalan Raya Kembangan mati total dah beberapa hari tidak diperbaiki,Lampu Jalan,Jakarta Selatan,Sedang,2025-02-03 03:05:41
3153,Tempat duduk di taman Jalan Raya Bekasi hampir semua rusak tidak layak,Taman,Jakarta Barat,Sedang,2025-01-20 13:06:31
3154,Lantai jembatan Jalan Raya Kembangan berlubang berbahaya bagi kendaraan,Jembatan,Jakarta Barat,Sedang,2025-12-25 19:59:34
3155,Drainase Jalan Raya Kembangan tidak berfungsi banjir setinggi lutut di pemukiman,Drainase,Jakarta Timur,Berat,2025-02-21 14:32:37
3156,Taman Jalan Mangga Dua hancur total akibat banjir semua fasilitas rusak,Taman,Jakarta Barat,Berat,2025-01-22 09:54:26
3157,Jembatan Jalan Rasuna Said ada sedikit getaran saat dilalui kendaraan berat,Jembatan,Jakarta Barat,Ringan,2025-04-08 14:35:24
3158,Lampu jln Jalan TB Simatupang kabelnya terkelupas berbahya bila hujan,Lampu Jalan,Jakarta Pusat,Sedang,2025-02-07 15:07:22
3159,Drainase di Jalan Daan Mogot perlu pembersihan rutin lumpur menumpuk,Drainase,Kepulauan Seribu,Ringan,2025-08-14 20:45:50
3160,Trotoar Gang Anggrek banyak ubin pecah sangat tidak nyaman dilalui,Trotoar,Jakarta Timur,Sedang,2025-12-13 00:23:50
3161,Laporan: Jalan Jalan Fatmawati amblas sedikit dan berlubng ini sudah lama dibiarkan,Jalan,Jakarta Pusat,Sedang,2025-04-17 09:17:56
3162,Rel jembatan Jalan Ciledug Raya copot berbahaya bagi pengguna jalan,Jembatan,Kepulauan Seribu,Sedang,2025-11-09 09:53:57
3163,Permukaan trotoar Jalan Fatmawati tidak rata berbahaya untuk lansia dan difabel,Trotoar,Jakarta Timur,Sedang,2025-07-22 07:00:57
3164,Pagar jembatan di Jalan Gunung Sahari rusak dan membahayakan pejalan kaki,Jembatan,Jakarta Barat,Sedang,2025-07-02 00:01:09
3165,Aspal di atas jembatan Jalan Casablanca retak tipis perlu penambalan,Jembatan,Jakarta Pusat,Ringan,2025-06-27 16:52:47
3166,Drainase di Jalan Panjang perlu pembersihan rutin lumpur menumpuk ini sudah lama dibiarkan,Drainase,Jakarta Barat,Ringan,2025-10-11 10:10:36
3167,Lampu jalan di gang Jalan Cengkareng kurang terang perlu perhatian,Lampu Jalan,Jakarta Timur,Ringan,2025-07-08 17:25:12
3168,Kabel fiber di Jalan Ciledug Raya sedikit kendur perlu dikencangkan,Kabel Fiber,Jakarta Barat,Ringan,2025-10-21 12:53:03
3169,Trotoar di Jalan Daan Mogot ada celah kecil antar ubin perlu diperbaiki sudah 2 minggu belum diperbaiki,Trotoar,Jakarta Barat,Ringan,2025-10-14 04:40:24
3170,Lantai jembatan Jalan Fatmawati berlubang berbahaya bagi kendaraan,Jembatan,Kepulauan Seribu,Sedang,2025-12-06 12:57:20
3171,Taman Jalan Pramuka rumputnya sudah panjang perlu dipotong,Taman,Jakarta Utara,Ringan,2025-09-06 13:14:06
3172,Jalan Jalan Warung Buncit tidak rata dan berlubang menyebabkan kendaraan oleng,Jalan,Kepulauan Seribu,Sedang,2025-12-26 04:32:07
3173,Trotoar Gang Mawar ambles di beberapa titik berbahaya pejalan kaki,Trotoar,Jakarta Selatan,Sedang,2025-11-19 12:53:48
3174,Kabel lampu jalan di Jalan Ahmad Yani tampak menjuntai berbahaya,Lampu Jalan,Jakarta Pusat,Sedang,2025-11-30 08:53:35
3175,Lampu taman di Jalan Gatot Subroto mati sehingga taman gelap malam hari,Taman,Jakarta Barat,Sedang,2025-03-31 10:13:05
3176,Trotoar Jalan Daan Mogot dirusak oleh akar pohon dan tidak rata,Trotoar,Jakarta Timur,Sedang,2025-02-01 13:00:40
3177,Kabel fiber di Jalan Warung Buncit rusak parah akibat korsleting,Kabel Fiber,Jakarta Timur,Sedang,2025-10-05 00:39:45
3178,Infrastruktur lampu jalan di Jalan Panjang hancur parah akibat kecelakaan,Lampu Jalan,Kepulauan Seribu,Berat,2025-09-30 02:36:24
3179,Area Gang Dahlia gelap gulita karena banyak lampu jalan mati,Lampu Jalan,Jakarta Barat,Sedang,2025-01-24 23:08:29
3180,Kabel fiber Jalan Warung Buncit terbakar menyebabkan pemadaman internet massal,Kabel Fiber,Jakarta Utara,Berat,2025-11-21 11:11:15
3181,Paving trotoar Jalan Haji Nawi warnanya pudar perlu perawatan,Trotoar,Jakarta Barat,Ringan,2025-11-29 07:19:12
3182,Trotoar Jalan Cengkareng runtuh dan menimbulkan lubang besar di pinggir jalan,Trotoar,Jakarta Pusat,Berat,2025-09-27 07:46:49
3183,Jalan Jalan Raya Bekasi mengalami retak kecil sepanjang 5 meter...,Jalan,Jakarta Barat,Ringan,2025-07-25 08:42:03
3184,Jalan Gang Anggrek rusak dengan lubang berdiameter 2 cm,Jalan,Kepulauan Seribu,Sedang,2025-05-03 04:40:01
3185,Ada sedikit sampah di area tman Jalan Hayam Wuruk,Taman,Jakarta Utara,Ringan,2025-11-19 03:07:29
3186,Drainase Jalan Mangga Dua rusak berat banjir menggenangi rumah warga,Drainase,Jakarta Timur,Berat,2025-10-04 03:09:18
3187,Terdapat lubang sedang di jalan Jalan Daan Mogot yang mengganggu kendaraan,Jalan,Jakarta Timur,Sedang,2025-05-29 05:05:04
3188,Drainase Jalan Pluit tersumbat menyebabkan genangan air saat hujan,Drainase,Jakarta Pusat,Sedang,2025-08-28 11:58:53
3189,Kabel fiber Jalan TB Simatupang terlilit dan putus akibat kendaraan besar,Kabel Fiber,Kepulauan Seribu,Sedang,2025-04-13 03:31:50
3190,Drainase Jalan Warung Buncit kurang bersih perlu segera diperhatikan,Drainase,Jakarta Selatan,Ringan,2025-01-14 02:31:40
3191,Kabel fiber Jalan Muara Baru mengurai dan menggantung di tengah jalan,Kabel Fiber,Jakarta Utara,Sedang,2025-02-07 21:26:24
3192,Satu lampu jalan di Jalan Raya Pasar Minggu berkedip tidak stabil,Lampu Jalan,Kepulauan Seribu,Ringan,2025-06-21 14:51:10
3193,Jembatan Jalan Gajah Mada hampir roboh sangat mengancam keselamatan jiwa,Jembatan,Jakarta Timur,Berat,2025-03-10 00:57:11
3194,Beberapa bata trotoar Jalan Pluit retak ringan,Trotoar,Jakarta Utara,Ringan,2025-11-19 20:38:54
3195,Ada kabel fiber di Jalan TB Simatupang yang pengikatnya lepas,Kabel Fiber,Jakarta Utara,Ringan,2025-01-04 10:22:30
3196,Instalasi kabel fiber di Jalan Pluit rusak dan mengganggu layanan,Kabel Fiber,Jakarta Utara,Sedang,2025-10-20 17:00:10
3197,Kabel fiber di Jalan Gunung Sahari rusak parah akibat korsleting,Kabel Fiber,Jakarta Selatan,Sedang,2025-09-24 08:59:07
3198,Lampu jalan Jalan Rasuna Said sering konslet menyebabkan mati berulang,Lampu Jalan,Kepulauan Seribu,Sedang,2025-04-20 00:34:01
3199,Kabel fiber Jalan Fatmawati terputus akibat tertimpa pohon,Kabel Fiber,Jakarta Utara,Sedang,2025-09-17 04:13:55
3200,Jembatan Gang Anggrek kondisi memperihatinkan perlu diperbaiki secepatnya,Jembatan,Jakarta Timur,Sedang,2025-06-04 06:01:20
3201,Drainase Jalan Cengkareng tidak berfungsi dan menyebabkan banjir kecil,Drainase,Jakarta Selatan,Sedang,2025-03-08 02:46:44
3202,Lantai kayu jembatan Jalan Ciledug Raya lapuk dan berlubang berbahaya,Jembatan,Jakarta Utara,Sedang,2025-03-09 08:30:12
3203,Permukaan jalan Gang Melati mengelupas sedikit,Jalan,Jakarta Pusat,Ringan,2025-02-12 22:35:41
3204,Lampu jalan di gang Jalan Raya Pasar Minggu kurang terang perlu perhatian,Lampu Jalan,Jakarta Selatan,Ringan,2025-05-15 23:51:31
3205,Lampu penerangan di Jalan Muara Baru kurang terang perlu diganti,Lampu Jalan,Jakarta Selatan,Ringan,2025-07-17 12:59:12
3206,Jalan di Jalan Raya Kembangan mulai retak namun masih bisa dilalui,Jalan,Jakarta Barat,Ringan,2025-05-06 06:43:54
3207,Taman Gang Mawar perlu pembersihan ringan daun daun berguguran ini sudah lama dibiarkan,Taman,Jakarta Barat,Ringan,2025-12-09 12:06:37
3208,Ada sedikit sampah di area taman Jalan Raya Kembangan,Taman,Jakarta Barat,Ringan,2025-10-10 05:50:13
3209,Jalan Jalan Casablanca berlubang cukup dalam sekitar 8 cm,Jalan,Jakarta Pusat,Sedang,2025-12-16 13:56:28
3210,Sebagian besar trotaor Gang Melati rusak dan tidak layak digunakan,Trotoar,Jakarta Utara,Sedang,2025-07-20 23:17:52
3211,Got di Jalan Pluit mulai penuh lumpur perlu dikeruk sudah dilaporkan ke RT tapi belum ada respons,Drainase,Jakarta Timur,Ringan,2025-06-20 03:38:24
3212,Saluran air di Jalan Kebon Jeruk kotor dan berbau perlu dibersihkan,Drainase,Kepulauan Seribu,Ringan,2025-07-07 18:22:23
3213,Jalan Jalan Mangga Dua retak kecil akibat cuaca panas,Jalan,Jakarta Pusat,Ringan,2025-11-27 02:28:10
3214,Lampu jalan Jalan Fatmawati mati pada jam tertentu saja,Lampu Jalan,Jakarta Pusat,Ringan,2025-01-31 16:16:37
3215,Retakan halus di aspal jalan Gang Anggrek perlu perhatian,Jalan,Jakarta Timur,Ringan,2025-07-10 19:52:56
3216,Lampu jalan di gang Jalan Hayam Wuruk kurang terang perlu perhatian,Lampu Jalan,Jakarta Utara,Ringan,2025-11-17 11:25:01
3217,Penerangan jl di Jalan Gajah Mada gelap karena beberapa lampu mati,Lampu Jalan,Jakarta Utara,Sedang,2025-02-06 10:27:50
3218,Permukaan jembatan Jalan Gatot Subroto mulai kasar dan tidak rata,Jembatan,Jakarta Utara,Ringan,2025-03-12 07:04:13
3219,Infrastruktur lampu jalan di Gang Mawar hancur parah akibat kecelakaan,Lampu Jalan,Jakarta Selatan,Berat,2025-11-12 11:09:49
3220,Taman Jalan Haji Nawi kondisi sangat kritis semua tanaman mati dan fasilitas hancur,Taman,Jakarta Pusat,Berat,2025-06-04 00:20:44
3221,Lampu jalan Jalan Warung Buncit sering konslet menyebabkan mati berulang,Lampu Jalan,Jakarta Utara,Sedang,2025-01-23 10:13:29
3222,Ada lampu jalan di Jalan TB Simatupang yang sering mati hidup sendiri,Lampu Jalan,Jakarta Barat,Ringan,2025-10-26 10:57:14
3223,Drainase Jalan Muara Baru tidak berfungsi dan menyebabkan banjir kecil,Drainase,Kepulauan Seribu,Sedang,2025-09-03 12:18:38
3224,Kabel fiber Jalan TB Simatupang terputus akibat tertimpa pohon,Kabel Fiber,Jakarta Pusat,Sedang,2025-04-17 06:06:35
3225,Dua lampu jlan di Jalan Cengkareng mati sudah seminggu belum diperbaiki samping pom bensin,Lampu Jalan,Jakarta Pusat,Sedang,2025-05-23 19:56:51
3226,Jalan Jalan Cengkareng berlubang cukup dalam sekitar 50 cm,Jalan,Jakarta Utara,Sedang,2025-11-03 18:57:41
3227,Seluruh jaringan kabel fiber di Jalan Panjang putus total tidak ada sinyal,Kabel Fiber,Jakarta Selatan,Berat,2025-07-22 13:20:52
3228,Tempat duduk di taman Jalan Kebon Jeruk hampir semua rusak tidak layak,Taman,Jakarta Timur,Sedang,2025-06-07 06:03:51
3229,Taman Jalan Muara Baru tidak bisa digunakan semua infrastruktur rusak berat,Taman,Kepulauan Seribu,Berat,2025-08-16 01:17:26
3230,Dua lampu jalan di Gang Melati mati sudah seminggu belum diperbaiki,Lampu Jalan,Jakarta Timur,Sedang,2025-02-04 14:10:38
3231,Kabel fiber Jalan Cengkareng terbakar menyebabkan pemadaman internet massal,Kabel Fiber,Jakarta Pusat,Berat,2025-06-19 12:15:36
3232,Permukaan jl Jalan Raya Bekasi bergelombang dan berlubng,Jalan,Kepulauan Seribu,Sedang,2025-01-10 00:41:50
3233,Kabel fiber Jalan Meruya melendut ke bawah perlu dirapikan,Kabel Fiber,Jakarta Selatan,Ringan,2025-10-01 14:18:08
3234,Beton jembatan Jalan Panjang retak lebar perlu penanganan segera,Jembatan,Jakarta Selatan,Sedang,2025-07-02 17:58:33
3235,Lantai kayu jembatan Gang Mawar lapuk dan berlubang berbahaya,Jembatan,Jakarta Timur,Sedang,2025-01-11 20:01:04
3236,Trotoar Jalan Kebon Jeruk ada retakan tipis di beberapa bagian,Trotoar,Jakarta Timur,Ringan,2025-08-04 13:46:19
3237,Taman Jalan Muara Baru rusak berat akibat vandalisme parah butuh renovasi total,Taman,Jakarta Utara,Berat,2025-05-11 11:25:05
3238,Penerangan jalan di Jalan Warung Buncit gelap karena beberapa lampu mati,Lampu Jalan,Jakarta Barat,Sedang,2025-09-25 10:31:39
3239,Aspal di atas jembatan Jalan Hayam Wuruk retak tipis perlu penambalan,Jembatan,Jakarta Barat,Ringan,2025-01-13 09:44:29
3240,Taman Jalan Otista rumputnya sudah panjang perlu dipotong,Taman,Jakarta Selatan,Ringan,2025-08-28 20:58:07
3241,Jalan Jalan Fatmawati rusak sangat parah ada lubang besar mengancam jiwa,Jalan,Jakarta Barat,Berat,2025-06-20 03:01:14
3242,Trotoar di Jalan Muara Baru hancur akibat banjir pejalan kaki tidak bisa lewat,Trotoar,Jakarta Barat,Berat,2025-01-27 00:08:06
3243,Banyak lubang kecil sedang di badan jalan Jalan Cengkareng,Jalan,Jakarta Pusat,Sedang,2025-06-28 22:46:27
3244,Trotoar Jalan Pangeran Jayakarta banyak ubin pecah sangat tidak nyaman dilalui,Trotoar,Jakarta Timur,Sedang,2025-04-06 02:12:46
3245,Tanaman hias di taman Gang Anggrek perlu perawatan rutin warga sekitar sudah mengeluh,Taman,Kepulauan Seribu,Ringan,2025-06-27 17:00:59
3246,Ubin trotoar di Jalan TB Simatupang mulai longgar tapi masih aman,Trotoar,Kepulauan Seribu,Ringan,2025-12-28 01:16:56
3247,Trotoar Jalan Sisingamangaraja banyak ubin pecah sangat tidak nyaman dilalui,Trotoar,Jakarta Pusat,Sedang,2025-01-04 01:19:04
3248,Lampu penerangan di Jalan Pangeran Jayakarta kurang terang perlu diganti,Lampu Jalan,Jakarta Utara,Ringan,2025-05-11 22:39:50
3249,Terdapat lubang sedang di jalaan jln Rasuna Said yang mengganggu kendaraan,Jalan,Jakarta Timur,Sedang,2025-07-09 22:10:59
3250,Drainase Jalan Panjang rusak berat banjir menggenangi rumah warga,Drainase,Jakarta Pusat,Berat,2025-03-19 14:07:08
3251,Retakan halus di aspal jalan Jalan Casablanca perlu perhatian,Jalan,Jakarta Pusat,Ringan,2025-06-28 04:48:37
3252,Lampu jalan Jalan Mangga Dua mati pada jam tertentu saja,Lampu Jalan,Jakarta Utara,Ringan,2025-07-21 14:42:07
3253,Jalan Jalan TB Simatupang tidak rata dan berlubng menyebabkan kendaraan oleng,Jalan,Jakarta Selatan,Sedang,2025-09-17 07:36:30
3254,Kabel fiber Jalan Pluit tergantung rendah berbahaya bagi kendaraan tinggi,Kabel Fiber,Kepulauan Seribu,Sedang,2025-11-16 08:20:49
3255,Aspal di atas jembatan Jalan Meruya retak tipis perlu penambalan,Jembatan,Jakarta Pusat,Ringan,2025-12-16 07:05:16
3256,Jalan Jalan Cengkareng rusak sangat parah ada lubang besar mengancam jiwa,Jalan,Jakarta Barat,Berat,2025-05-23 02:22:35
3257,Drainase di Jalan Fatmawati perlu pembersihan rutin lumpur menumpuk,Drainase,Kepulauan Seribu,Ringan,2025-04-22 20:47:54
3258,jl DI JALAN PLUIT MULAI RETAK NAMUN MASIH BISA DILALUI,Jalan,Jakarta Barat,Ringan,2025-04-23 02:04:31
3259,Saluran air Jalan Haji Nawi tersumbat dan bau tidak sedap menyebar,Drainase,Jakarta Utara,Sedang,2025-01-07 00:42:13
3260,Saluran drainase di Gang Mawar rusak menyebabkan air tergenang ini jalan protokol yang ramai,Drainase,Kepulauan Seribu,Sedang,2025-08-27 12:12:31
3261,Saluran induk drainase Jalan Otista tersumbat total banjir meluas ke mana mana,Drainase,Jakarta Pusat,Berat,2025-02-11 06:52:37
3262,Trotoar Jalan Pramuka rusak parah pejalan kaki terpaksa jalan di badan jalan,Trotoar,Jakarta Pusat,Sedang,2025-09-17 10:48:19
3263,Got  jl  Pluit  ada  sedikit  sampah  yang  menghambat  aliran  air sudah 2 minggu belum diperbaiki,Drainase,Jakarta Selatan,Ringan,2025-12-15 20:09:54
3264,Lampu jalan Jalan Cengkareng rusak dan jalan menjadi gelap bahaya bgt,Lampu Jalan,Jakarta Selatan,Sedang,2025-09-04 04:14:58
3265,Badan jalan Jalan Otista ambles sangat berbahaya terutama malam hari,Jalan,Kepulauan Seribu,Berat,2025-06-13 14:55:39
3266,Jalan di Gang Mawar mulai retak namun masih bisa dilalui warga sekitar sudah mengeluh,Jalan,Jakarta Utara,Ringan,2025-09-07 12:12:04
3267,Jembatan Jalan Raya Pasar Minggu ambles parah dan menutup akses jalan utama,Jembatan,Jakarta Timur,Berat,2025-05-14 05:43:19
3268,Area Jalan Fatmawati gelap gulita karena banyak lampu jalan mati,Lampu Jalan,Kepulauan Seribu,Sedang,2025-10-21 03:09:29
3269,Dua lampu jalan di Jalan Pangeran Jayakarta mati sudah seminggu belum diperbaiki,Lampu Jalan,Jakarta Selatan,Sedang,2025-02-24 03:15:01
3270,Fasilitas taman Jalan Pluit banyak yang rusak perlu diperbaiki,Taman,Jakarta Barat,Sedang,2025-08-06 08:01:30
3271,Beberapa tanaman di taman Jalan Ahmad Yani layu perlu disiram,Taman,Jakarta Pusat,Ringan,2025-11-17 14:22:16
3272,Kabel fiber di Jalan Rasuna Said rusak parah akibat korsleting,Kabel Fiber,Jakarta Pusat,Sedang,2025-02-18 02:22:27
3273,Ada lampu jalan di Jalan Gatot Subroto yang sering mati hidup sendiri,Lampu Jalan,Jakarta Pusat,Ringan,2025-04-05 12:32:27
3274,Trotoar di Jalan Pramuka hancur akibat banjir pejalan kaki tidak bisa lewat,Trotoar,Kepulauan Seribu,Berat,2025-09-11 01:28:17
3275,Kabel fiber Jalan Raya Bekasi melendut ke bawah perlu dirapikan,Kabel Fiber,Kepulauan Seribu,Ringan,2025-06-04 01:41:24
3276,Ada celah kecil di aspal jalan dekat Jalan Ahmad Yani,Jalan,Jakarta Selatan,Ringan,2025-12-30 13:12:18
3277,Drainase Gang Anggrek meluap saat hujan deras meski sebentar,Drainase,Jakarta Utara,Sedang,2025-04-13 05:38:17
3278,Jalan Gang Melati amblas dalam dan lebar sangat mengancam keselamatan,Jalan,Jakarta Timur,Berat,2025-09-20 15:33:27
3279,Lampu jalan Jalan Fatmawati mati pada jam tertentu saja,Lampu Jalan,Jakarta Utara,Ringan,2025-02-22 01:41:15
3280,Beberapa bata trotoar Jalan Ahmad Yani retak ringan!!,Trotoar,Jakarta Pusat,Ringan,2025-02-08 03:03:57
3281,Drainase jl Gajah Mada jebol air membanjiri jalaan dan rumah warga sekitar sudah dilaporkan ke RT tapi belum ada respons,Drainase,Jakarta Utara,Berat,2025-01-19 08:15:04
3282,Lampu jalan Jalan Pramuka rusak dan jalan menjadi gelap berbahaya,Lampu Jalan,Jakarta Barat,Sedang,2025-09-04 08:14:56
3283,Lampu jalan Jalan Warung Buncit mati total sudah beberapa hari tidak diperbaiki,Lampu Jalan,Jakarta Utara,Sedang,2025-10-23 22:25:25
3284,Trotoar Jalan Raya Bekasi dirusak oleh akar pohon dan tidak rata,Trotoar,Jakarta Timur,Sedang,2025-07-04 07:46:52
3285,Lampu jlan Gang Mawar meledak dan membakar kabel di sekitarnya...,Lampu Jalan,Jakarta Timur,Berat,2025-12-09 15:13:10
3286,Ubin trotoaar di Jalan Ciledug Raya banyak yang copot dan berlubang,Trotoar,Kepulauan Seribu,Sedang,2025-04-12 20:18:45
3287,Kerusakan masif trotoar Jalan Rasuna Said membahayakan jiwa pejalan kaki,Trotoar,Kepulauan Seribu,Berat,2025-10-10 23:00:06
3288,Kerusskan parah di jaln Jalan Mangga Dua kendaraan harus memutar jalan 🙏,Jalan,Jakarta Pusat,Berat,2025-03-17 22:39:30
3289,Tiang lampu jalan di Jalan Ciledug Raya patah akibat ditabrak kendaraan,Lampu Jalan,Jakarta Utara,Berat,2025-12-10 22:15:10
3290,Saluran air di Jalan Rasuna Said kotor dan berbau perlu dibersihkan,Drainase,Jakarta Barat,Ringan,2025-06-22 02:10:11
3291,Dua lampu jalan di Jalan Haji Nawi mati sudah seminggu belum diperbaiki,Lampu Jalan,Jakarta Selatan,Sedang,2025-06-29 14:09:00
3292,Beberapa lampu jalan di Jalan Pluit mati menyebabkan jalan gelap,Lampu Jalan,Jakarta Utara,Sedang,2025-11-16 13:21:01
3293,Tiang kabel fiber di Jalan Sisingamangaraja roboh menimpa kendaraan yang lewat,Kabel Fiber,Jakarta Barat,Berat,2025-03-09 02:10:43
3294,Pagar taman Jalan Pangeran Jayakarta rusak di beberapa bagian,Taman,Jakarta Pusat,Sedang,2025-01-20 11:30:37
3295,Kabel fiber Jalan Sudirman tergantung rendah berbahaya bagi kendaraan tinggi,Kabel Fiber,Jakarta Timur,Sedang,2025-01-16 07:30:07
3296,Ada retakan tipis di permukaan jalan Jalan Cengkareng,Jalan,Kepulauan Seribu,Ringan,2025-01-27 00:36:43
3297,Laporan: Saluran induk drainase Jalan Pramuka tersumbat total banjir meluas ke mana mana anak anak sering lewat sini,Drainase,Jakarta Pusat,Berat,2025-05-27 07:33:32
3298,Lampu jalan Jalan Hayam Wuruk meledak dan membakar kabel di sekitarnya,Lampu Jalan,Jakarta Barat,Berat,2025-03-25 04:49:06
3299,Ada kerusakan jalan di Jalan Warung Buncit dengan lubang sedang,Jalan,Jakarta Timur,Sedang,2025-02-10 23:21:28
3300,Terdapat lubang sangat besar di jalan Jalan Gatot Subroto membahayakan pengendara,Jalan,Jakarta Timur,Berat,2025-08-24 11:34:16
3301,Got  Jalan  Raya  Kembangan  retak  dan  bocor  air  merembes  ke  jalan,Drainase,Jakarta Utara,Sedang,2025-11-16 08:23:29
3302,Trotoar Jalan Haji Nawi runtuh dan menimbulkan lubang besar di pinggir jalan,Trotoar,Jakarta Selatan,Berat,2025-01-27 11:19:45
3303,Saluran got di Jalan Rasuna Said mampet total air meluap ke jalan,Drainase,Jakarta Timur,Sedang,2025-06-29 16:49:42
3304,Trotoar Jalan Gajah Mada ada satu dua ubin yang goyang sedikit berbahaya,Trotoar,Jakarta Pusat,Ringan,2025-10-16 03:17:43
3305,URGENT!! Trotoar Jalan Muara Baru hancur total tidak bisa digunakan pejalan kaki sama sekali,Trotoar,Jakarta Selatan,Berat,2025-09-24 20:01:09
3306,Jalan Jalan Hayam Wuruk rusak sangat parah ada lubang besar mengancam jiwa ini sudah lama dibiarkan,Jalan,Jakarta Selatan,Berat,2025-07-28 07:42:09
3307,Saluran air di Jalan Sudirman kotor dan berbau perlu dibersihkan,Drainase,Jakarta Utara,Ringan,2025-06-16 00:15:36
3308,Kabel fiber Jalan Mangga Dua tergantung rendah berbahaya bagi kendaraan tinggi,Kabel Fiber,Kepulauan Seribu,Sedang,2025-12-23 13:23:13
3309,Taman Jalan Warung Buncit perlu pembersihan ringan daun daun berguguran,Taman,Jakarta Selatan,Ringan,2025-12-03 06:58:24
3310,Ubin trotoar di Jalan Daan Mogot mulai longgar tapi masih aman,Trotoar,Kepulauan Seribu,Ringan,2025-11-04 08:56:40
3311,Pondasi jembatan Jalan TB Simatupang amblas darurat harus segera dievakuasi,Jembatan,Jakarta Barat,Berat,2025-11-18 14:56:33
3312,Taman Jalan Gatot Subroto hancur dan perlu dibangun ulang dari awal,Taman,Jakarta Utara,Berat,2025-03-09 21:22:56
3313,Lantai kayu jembatan Jalan Gajah Mada lapuk dan berlubang berbahaya,Jembatan,Jakarta Pusat,Sedang,2025-06-13 18:26:17
3314,Area Jalan Pangeran Jayakarta gelap gulita karena banyak lampu jalan mati,Lampu Jalan,Jakarta Utara,Sedang,2025-05-07 01:37:33
3315,Pemasangan kabel fiber di Jalan Pramuka tidak rapi menggantung rendah,Kabel Fiber,Jakarta Pusat,Ringan,2025-12-11 19:07:27
3316,Beton jembatan Jalan Sudirman retak lebar perlu penanganan segera,Jembatan,Jakarta Pusat,Sedang,2025-08-19 11:18:07
3317,Got pinggir jalan Jalan Kebon Jeruk ada sampah plastik menyumbat sedikit,Drainase,Jakarta Timur,Ringan,2025-01-16 21:09:29
3318,Kondisi taman Jalan Fatmawati sangat memperihatinkan rusak total perlu penanganan segera,Taman,Jakarta Selatan,Berat,2025-11-05 16:18:39
3319,Tiang penyangga kabel fiber di Jalan Haji Nawi patah menimpa rumah warga,Kabel Fiber,Kepulauan Seribu,Berat,2025-09-22 05:19:31
3320,Jembatan Jalan Sudirman ada bagian yang ambles tidak rata,Jembatan,Kepulauan Seribu,Sedang,2025-05-03 09:00:29
3321,Laporan: Rumput taman Jalan Raya Kembangan mulai gak terawat perlu dipangkas ini sudah lama dibiarkan,Taman,Kepulauan Seribu,Ringan,2025-01-07 09:52:37
3322,Instalasi listrik lampu jalan Jalan Rasuna Said terbakar sangat berbahaya,Lampu Jalan,Kepulauan Seribu,Berat,2025-02-02 15:19:00
3323,Lampu jalan Jalan Ahmad Yani sering konslet menyebabkan mati berulang mohon segera ditindaklanjuti,Lampu Jalan,Jakarta Utara,Sedang,2025-07-12 21:53:00
3324,Jembatan Jalan Gajah Mada ambles parah dan menutup akses jalan utama,Jembatan,Kepulauan Seribu,Berat,2025-01-09 04:22:56
3325,Retakan halus di aspal jalan Jalan Haji Nawi perlu perhatian,Jalan,Jakarta Selatan,Ringan,2025-05-26 16:42:49
3326,Pagar taman Jalan Raya Kembangan rusak di beberapa bagian,Taman,Jakarta Timur,Sedang,2025-09-05 02:45:17
3327,Lampu jalan Gang Anggrek rusak dan jalan menjadi gelap berbahaya,Lampu Jalan,Jakarta Barat,Sedang,2025-03-24 06:27:37
3328,Trotoar Jalan Pluit ambles dalam sangat berbahaya bagi semua pengguna jalan,Trotoar,Jakarta Utara,Berat,2025-02-10 07:02:30
3329,Tiang kabel fiber di Gang Melati roboh menimpa kendaraan yang lewat,Kabel Fiber,Kepulauan Seribu,Berat,2025-06-08 21:40:24
3330,Laporan: Ada kerusakan jalan di Jalan Sudirman dengan lubang sedang,Jalan,Jakarta Timur,Sedang,2025-07-13 03:57:16
3331,Jembatan Jalan Pluit retak cukup dalam perlu segera diperbaiki,Jembatan,Jakarta Utara,Sedang,2025-05-20 09:11:36
3332,Lampu jalan Jalan Sisingamangaraja meledak dan menyebabkan kebakaran kecil,Lampu Jalan,Kepulauan Seribu,Berat,2025-07-22 10:51:37
3333,Kerusakan massal kabel fiber di Jalan Meruya menyebabkan wilayah luas tanpa internet,Kabel Fiber,Kepulauan Seribu,Berat,2025-03-22 06:16:08
3334,Kondisi trotoar Jalan Pramuka cukup memprihatinkan banyak kerusakan merata,Trotoar,Jakarta Pusat,Sedang,2025-07-18 06:19:19
3335,Kerusakan parah di jalan Jalan Ahmad Yani kendaraan harus memutar jalan,Jalan,Jakarta Barat,Berat,2025-02-10 18:59:40
3336,Kabel fiber di tiang Jalan Sudirman terlihat longgar,Kabel Fiber,Jakarta Pusat,Ringan,2025-08-18 05:24:50
