deskripsi_laporan,jenis_infrastruktur,kota_administrasi,tingkat_kerusakan,date_laporan,tingkat_kerusakan_encoded
jembatan jalan muara baru hampir roboh sangat mengancam keselamatan jiwa,jembatan,kepulauan seribu,berat,2025-05-16 17:06:11,2
kabel fiber jalan hayam wuruk putus massal akibat bencana menyebabkan blackout digital,kabel fiber,jakarta selatan,berat,2025-11-20 02:53:17,2
jembatan gang anggrek terancam roboh akibat banjir besar melanda,jembatan,jakarta timur,berat,2025-03-29 17:12:16,2
banyak lubang kecil sedang di badan jalan jalan raya bekasi,jalan,jakarta utara,sedang,2025-12-29 20:04:46,1
tiang kabel fiber jln pluit roboh dan kabel berantakan di jalan sangat berbahaya,kabel fiber,jakarta timur,berat,2025-02-01 16:40:01,2
tiang kabel fiber jalan daan mogot roboh dan kabel berantakan di jalan sangat berbahaya,kabel fiber,jakarta pusat,berat,2025-10-19 12:49:37,2
ada retakan tipis di permukaan jalan jalan ciledug raya anak anak sering lewat sini,jalan,jakarta selatan,ringan,2025-04-30 01:35:16,0
lampu jalan jalan ciledug raya casing nya sedikit retak tapi masih menyala,lampu jalan,jakarta selatan,ringan,2025-09-29 17:30:41,0
sebagian besar trotoar jalan sudirman rusak dan tidak layak digunakan,trotoar,jakarta utara,sedang,2025-03-12 12:14:57,1
area bermain anak di taman gang melati fasilitasnya banyak rusak,taman,jakarta barat,sedang,2025-10-24 09:08:29,1
kabel fiber di jalan pramuka kondisinya kurang baik perlu pengecekan,kabel fiber,jakarta pusat,ringan,2025-09-17 02:25:23,0
trotoar jalan panjang ambles dalam sangat berbahaya bagi semua pengguna jlan,trotoar,jakarta selatan,berat,2025-09-01 21:15:54,2
jalan gang mawar berlubang cukup dalam sekitar 10 cm,jalan,jakarta utara,sedang,2025-10-22 05:48:32,1
trotoar jalan sisingamangaraja ada retakan tipis di beberapa bagian warga sekitar sudah mengeluh,trotoar,jakarta selatan,ringan,2025-03-15 05:11:36,0
drainase jalan hayam wuruk ngga berfungsi dan menyebabkan banjir kecil warga sekitar sudah mengeluh,drainase,jakarta selatan,sedang,2025-10-22 04:47:46,1
lampu penerangan di gang melati kurang terang perlu diganti,lampu jalan,jakarta selatan,ringan,2025-08-31 11:02:14,0
lampu taman di jalan tb simatupang mati sehingga taman gelap malam hari,taman,jakarta timur,sedang,2025-08-08 02:16:23,1
rumput taman jalan hayam wuruk mulai ga terawat perlu dipangkas,taman,jakarta selatan,ringan,2025-04-02 21:13:33,0
trotoar jalan ciledug raya runtuh dan menimbulkan lubang besar di pinggir jalan,trotoar,jakarta utara,berat,2025-06-13 15:58:29,2
kap lampu jalan di jalan sudirman kotor mengurangi pencahayaan,lampu jalan,jakarta selatan,ringan,2025-01-02 20:20:06,0
tiang lampu jalaan jalan gunung sahari roboh sangat berbahaya menghalangi jalan,lampu jalan,jakarta selatan,berat,2025-12-31 16:40:53,2
lampu jalan jalan raya pasar minggu kabelnya terkelupas berbahaya bila hujan,lampu jalan,jakarta selatan,sedang,2025-05-27 23:16:37,1
satu lampu jalan di jalan kebon jeruk berkedip tidak stabil,lampu jalan,jakarta barat,ringan,2025-09-19 05:24:41,0
kabel fiber di jalan sudirman kondisinya kurang baik perlu pengecekan,kabel fiber,jakarta pusat,ringan,2025-07-12 18:41:57,0
lampu jalan jalan raya kembangan mati total sudah beberapa hari tidak diperbaiki,lampu jalan,kepulauan seribu,sedang,2025-02-17 08:24:58,1
tiang kabel fiber di jalan raya pasar minggu roboh menimpa kendaraan yang lewat,kabel fiber,jakarta timur,berat,2025-04-17 12:22:52,2
saluran got jl pangeran jayakarta hancur total menyebabkan banjir besar,drainase,kepulauan seribu,berat,2025-06-16 15:56:38,2
jalan jalan gatot subroto tidak rata dan berlubang menyebabkan kendaraan oleng,jalan,jakarta utara,sedang,2025-01-17 04:28:10,1
taman jalan gunung sahari rumputnya sudah panjang perlu dipotong,taman,jakarta pusat,ringan,2025-04-03 16:41:17,0
beton jembatan jalan rasuna said patah sebagian sangat darurat,jembatan,jakarta utara,berat,2025-04-05 05:10:23,2
kabel fiber di jalan raya kembangan sedikit kendur perlu dikencangkan,kabel fiber,jakarta utara,ringan,2025-10-23 03:42:14,0
lampu jalan jalan haji nawi cahayanya mulai memudar,lampu jalan,kepulauan seribu,ringan,2025-07-26 10:46:07,0
jalan jalan raya pasar minggu rusak berat hampir tidak bisa dilalui kendaraan,jalan,jakarta timur,berat,2025-08-22 15:30:13,2
bunga di taman gang mawar layu karena kurang air,taman,jakarta timur,ringan,2025-10-06 20:53:26,0
jalan jalan panjang hancur total akibat banjir membahayakan warga,jalan,jakarta utara,berat,2025-01-08 01:08:36,2
satu lampu jalan di jalan fatmawati berkedip tidak stabil,lampu jalan,jakarta selatan,ringan,2025-10-06 04:40:32,0
beberapa tanaman di taman jalan sudirman layu perlu disiram,taman,jakarta timur,ringan,2025-01-29 18:09:03,0
beberapa titik drainase jalan pangeran jayakarta tersumbat menyebabkan genangan,drainase,jakarta selatan,sedang,2025-03-09 05:33:25,1
jembatan jalan meruya kondisi memperihatinkan perlu diperbaiki secepatnya,jembatan,jakarta barat,sedang,2025-10-19 20:01:56,1
jembatan jalan ahmad yani ambles parah dan menutup akses jalan utama,jembatan,kepulauan seribu,berat,2025-12-24 21:52:18,2
jembatan jalan mangga dua ada retakan kecil di permukaan beton,jembatan,kepulauan seribu,ringan,2025-02-07 14:38:30,0
saluran drainase di gang melati rusak menyebabkan air tergenang,drainase,jakarta utara,sedang,2025-08-06 07:53:26,1
lubang besar di jalan jalan sudirman sangat berbahaya bisa menyebabkan kecelakaan,jalan,jakarta utara,berat,2025-10-05 18:52:49,2
trotoar jalan panjang runtuh parah akibat tanah longsor kecil,trotoar,jakarta utara,berat,2025-03-20 21:32:16,2
beberapa bata trotoar jl rasuna said retak ringan 🙏,trotoar,jakarta selatan,ringan,2025-03-24 21:21:59,0
ada lampu jalan di jalan raya bekasi yang sering mati hidup sendiri,lampu jalan,jakarta timur,ringan,2025-08-20 18:04:14,0
bangku taman di jalan daan mogot rusak dan tidak bisa digunakan,taman,jakarta pusat,sedang,2025-07-13 04:06:01,1
got jl ciledug raya ada sedikit sampah yang menghambat aliran air ini jalan protokol yang ramai,drainase,kepulauan seribu,ringan,2025-04-17 16:43:26,0
got pinggir jalan jalan ciledug raya ada sampah plastik menyumbat sedikit,drainase,jakarta barat,ringan,2025-03-20 03:11:30,0
jembatan jalan warung buncit ada retakan kecil di permukaan beton,jembatan,jakarta barat,ringan,2025-10-20 01:56:50,0
jembatan jalan hayam wuruk ada sedikit getaran saat dilalui kendaraan berat,jembatan,kepulauan seribu,ringan,2025-09-17 03:05:30,0
kerusakan jalan di jalan raya bekasi cukup parah ada beberapa lubang,jalan,jakarta barat,sedang,2025-11-05 19:34:52,1
saluran drainase jalan gatot subroto perlu perawatan ringan sebelum musim hujan sudah dilaporkan ke rt tapi belum ada respons,drainase,kepulauan seribu,ringan,2025-01-29 21:41:27,0
pagar tman jalan pramuka rusak di beberapa bagian,taman,jakarta timur,sedang,2025-09-14 11:55:02,1
jalan gang mawar hancur total akibat banjir membahayakan warga,jalan,jakarta barat,berat,2025-12-17 13:14:51,2
jalan jalan muara baru berlubang di beberapa titik cukup mengganggu,jalan,jakarta pusat,sedang,2025-08-26 12:22:37,1
jembatan jalan ahmad yani retak cukup dalam perlu segera diperbaiki,jembatan,jakarta pusat,sedang,2025-12-30 22:36:06,1
kap lampu jalan di jalan mangga dua kotor mengurangi pencahayaan,lampu jalan,jakarta pusat,ringan,2025-07-05 08:30:49,0
pohon tumbang besar di taman gang mawar sangat membahayakan warga sekitar,taman,kepulauan seribu,berat,2025-04-30 02:18:38,2
instalasi listrik lampu jl jalan mangga dua terbakar sangat bhs,lampu jalan,jakarta utara,berat,2025-09-14 08:12:00,2
saluran air di jalan ahmad yani kotor dan berbau perlu dibersihkan,drainase,jakarta barat,ringan,2025-12-24 00:36:33,0
pohon tumbang besar di tamaan jalan fatmawati sangat membahayakan warga sekitar,taman,jakarta pusat,berat,2025-02-17 00:24:41,2
permukaan trotoar jln raya kembangan tidak rata berbahaya untuk lansia dan difabel,trotoar,jakarta utara,sedang,2025-04-23 10:26:23,1
pohon besar di taman jalan pangeran jayakarta tumbang dan merusak fasilitas sekitar,taman,jakarta timur,berat,2025-02-05 13:41:37,2
kap lampu jalan di jalan sudirman kotor mengurangi pencahayaan,lampu jalan,jakarta utara,ringan,2025-05-09 17:27:36,0
ada celah kecil di aspal jalan dekat jalan gajah mada,jalan,jakarta utara,ringan,2025-06-20 08:43:25,0
area bermain anak di taman jalan meruya fasilitasnya banyak rusak,taman,jakarta timur,sedang,2025-04-14 17:50:35,1
tiang lampu jln di jalan sudirman patah akibat ditabrak kendaraan,lampu jalan,jakarta selatan,berat,2025-08-06 11:35:35,2
jembatan jalan warung buncit ada bagian yang ambles tidak rata,jembatan,jakarta selatan,sedang,2025-08-09 09:36:22,1
kondisi trotoar jalan sisingamangaraja sangat kritis dan berbahaya harus segera diperbaiki,trotoar,jakarta barat,berat,2025-12-13 23:08:54,2
kerusakan struktural jembatan jalan gajah mada sangat kritis bahaya roboh,jembatan,jakarta barat,berat,2025-11-04 23:14:28,2
trotoar jln warung buncit ambles dalam sangat berbahaya bagi semua pengguna jalan,trotoar,jakarta barat,berat,2025-12-31 05:06:13,2
instalasi kabel fiber di jalan gunung sahari rusak dan mengganggu layanan,kabel fiber,jakarta selatan,sedang,2025-09-13 10:51:35,1
tiang lampu jalan jalan warung buncit roboh sangat berbahaya menghalangi jalan,lampu jalan,jakarta timur,berat,2025-10-23 21:45:03,2
kerusakan struktural jembatan jalan raya kembangan sagnat kritis bahaya roboh,jembatan,jakarta barat,berat,2025-03-13 20:00:51,2
jembatan jalan casablanca retak cukup dalam perlu segera diperbaiki,jembatan,jakarta utara,sedang,2025-02-27 04:30:59,1
kerusakan masif trotoar jalan tb simatupang membahayakan jiwa pejalan kaki warga sekitar sudah mengeluh,trotoar,jakarta utara,berat,2025-10-14 02:04:16,2
kabel lampu jalan di jalan fatmawati tampak menjuntai berbahaya,lampu jalan,jakarta utara,sedang,2025-04-12 02:38:02,1
lubang besar di jl jalan sisingamangaraja sangat berbahaya bisa menyebabkan kecelakaan,jalan,kepulauan seribu,berat,2025-12-13 12:39:41,2
ada kabel fiber di jalan daan mogot yang pengikatnya lepas,kabel fiber,jakarta pusat,ringan,2025-09-10 22:38:03,0
pohon besar di taman jalan meruya tumbang dan merusak fasilitas sekitar,taman,kepulauan seribu,berat,2025-03-21 15:28:00,2
jalan jalan sisingamangaraja berlubang cukup dalam sekitar 30 cm,jalan,jakarta timur,sedang,2025-04-28 21:59:51,1
jalan jalan casablanca amblas sedikit dan berlubang,jalan,jakarta timur,sedang,2025-09-10 06:02:50,1
kabel fiber di jalan raya kembangan sedikit kendur perlu dikencangkan,kabel fiber,jakarta timur,ringan,2025-10-17 16:44:14,0
beberapa tanaman di taman jalan hayam wuruk layu perlu disiram,taman,jakarta barat,ringan,2025-10-06 21:02:23,0
sebagian besar trotoar jalan pangeran jayakarta rusak dan tidak layak digunakan,trotoar,kepulauan seribu,sedang,2025-04-21 00:10:05,1
seluruh lampu jalan di jalan fatmawati mati total dan tidak ada penerangan sama sekali,lampu jalan,jakarta barat,berat,2025-05-25 12:22:42,2
kabel fiber jalan pramuka putus massal akibat bencana menyebabkan blackout digital,kabel fiber,jakarta barat,berat,2025-07-13 18:12:33,2
fasilitas taman jalan ahmad yani banyak yang rusak perlu diperbaiki,taman,jakarta timur,sedang,2025-01-24 22:04:58,1
dua lampu jalan di jalan muara baru mati sudah seminggu belum diperbaiki,lampu jalan,jakarta timur,sedang,2025-02-18 09:46:53,1
drainase di jalan tb simatupang perlu pembersihan rutin lumpur menumpuk,drainase,jakarta selatan,ringan,2025-09-30 18:22:22,0
trotoar gang mawar banyak ubin pecah sangat tidak nyaman dilalui,trotoar,jakarta timur,sedang,2025-05-08 19:12:29,1
jembatan jalan meruya ambles parah dan menutup akses jalan utama,jembatan,kepulauan seribu,berat,2025-07-19 00:16:11,2
trotoar gang mawar dirusak oleh akar pohon dan tidak rata,trotoar,jakarta barat,sedang,2025-07-17 03:35:04,1
taman jalan gunung sahari hancur dan perlu dibangun ulang dari awal,taman,jakarta pusat,berat,2025-09-10 10:07:51,2
jembatan jalan hayam wuruk kondisi memperihatinkan perlu diperbaiki secepatnya,jembatan,jakarta utara,sedang,2025-09-09 17:52:50,1
ada kabel fiber di gang anggrek yang pengikatnya lepas,kabel fiber,kepulauan seribu,ringan,2025-10-09 22:28:24,0
kondisi trotoar jln casablanca cukup memprihatinkan banyak krsakaan merata,trotoar,jakarta timur,sedang,2025-10-16 07:48:21,1
permukaan jembatan jalan gunung sahari mulai kasar dan tidak rata warga sekitar sudah mengeluh,jembatan,jakarta selatan,ringan,2025-08-22 14:57:37,0
jembatan jalan pramuka retak cukup dalam perlu segera diperbaiki,jembatan,jakarta pusat,sedang,2025-01-16 03:16:04,1
kabel lampu jalan gang anggrek putus dan terurai berbahaya menyetrum,lampu jalan,jakarta timur,berat,2025-07-21 07:43:44,2
pagar taman jalan gunung sahari rusak di beberapa bagian,taman,jakarta utara,sedang,2025-04-26 10:26:22,1
area bermain anak di taman jalan rasuna said fasilitasnya banyak rusak,taman,jakarta selatan,sedang,2025-09-18 00:44:53,1
kondisi jalan jalan casablanca kritis hampir tidak layak dilalui,jalan,jakarta selatan,berat,2025-05-08 09:05:25,2
lampu jalan jalan pramuka meledak dan membakar kabel di sekitarnya,lampu jalan,jakarta utara,berat,2025-11-24 10:04:35,2
kabel fiber di tiang jalan cengkareng terlihat longgar,kabel fiber,jakarta selatan,ringan,2025-03-16 10:22:13,0
ada kerusakan jalan di jalan fatmawati dengan lubang sedang,jalan,jakarta barat,sedang,2025-10-09 05:47:43,1
area bermain anak di taman jalan ciledug raya fasilitasnya banyak rusak,taman,jakarta barat,sedang,2025-04-16 23:12:15,1
beberapa pot tanaman di taman jalan otista retak kecil,taman,jakarta timur,ringan,2025-12-08 08:13:14,0
jembatan jalan cengkareng ada sedikit kerusakan minor di permukaan,jembatan,jakarta selatan,ringan,2025-04-27 07:53:39,0
saluran induk drainase jalan sisingamangaraja tersumbat total banjir meluas ke mana mana,drainase,kepulauan seribu,berat,2025-06-05 03:07:58,2
kabel lampu jalan gang anggrek putus dan terurai berbahaya menyetrum,lampu jalan,jakarta pusat,berat,2025-02-22 21:31:39,2
kerusakan trotoar jalan warung buncit sangat parah ada lubang besar mengancam keselamatan,trotoar,jakarta pusat,berat,2025-01-25 17:02:54,2
penyangga jembatan jalan muara baru terlihat retak perlu inspeksi warga sekitar sudah mengeluh,jembatan,jakarta barat,sedang,2025-08-12 19:20:31,1
tutup got di jalan haji nawi hilang bahaya bgt bagi pejalan kaki,drainase,jakarta selatan,sedang,2025-10-28 08:31:11,1
trotoar jl hayam wuruk hancur total tidak bisa digunakan pejalan kaki sama sekali,trotoar,jakarta timur,berat,2025-09-09 12:14:48,2
ubin trotoar jalan kebon jeruk banyak yang hilang meninggalkan lubang sudah 2 minggu belum diperbaiki,trotoar,jakarta utara,sedang,2025-10-05 01:33:51,1
paving trotoar jalan raya kembangan warnanya pudar perlu perawatan,trotoar,jakarta selatan,ringan,2025-07-16 17:02:32,0
saluran drainase jalan kebon jeruk perlu perawatan ringan sebelum musim hujan,drainase,jakarta pusat,ringan,2025-06-13 21:49:11,0
lampu penerangan di jalan cengkareng kurang terang perlu diganti,lampu jalan,jakarta barat,ringan,2025-08-04 22:33:29,0
longsor kecil merusak area taman jalan cengkareng secara parah,taman,jakarta pusat,berat,2025-06-23 00:00:43,2
got jalan fatmawati retak dan bocor air merembes ke jalan,drainase,jakarta timur,sedang,2025-04-13 18:06:20,1
trotoar jalan ahmad yani runtuh parah akibat tanah longsor kecil,trotoar,jakarta utara,berat,2025-06-20 08:11:35,2
saluran drainase di jalan ciledug raya sedikit tersumbat sampah daun,drainase,jakarta timur,ringan,2025-05-08 08:30:39,0
kabel fiber jalan warung buncit menyebabkan kebakaran karena korsleting parah,kabel fiber,kepulauan seribu,berat,2025-06-12 05:31:27,2
taman jalan tb simatupang perlu pembersihan ringan daun daun berguguran,taman,jakarta selatan,ringan,2025-04-14 22:48:23,0
ubin trotoar jalan cengkareng banyak yang hilang meninggalkan lubang,trotoar,jakarta pusat,sedang,2025-06-28 12:17:28,1
jalan jalan gatot subroto rusak dgn lubang berdiameter 5 cm,jalan,kepulauan seribu,sedang,2025-03-19 04:36:43,1
jembatan jalan muara baru ambles parah dan menutup akses jalaan utama,jembatan,kepulauan seribu,berat,2025-04-27 03:46:17,2
permukaan jembatan jalan gunung sahari mulai kasar dan tidak rata,jembatan,jakarta selatan,ringan,2025-04-18 13:54:24,0
lampu penerangan di jalan raya pasar minggu kurang terang perlu diganti,lampu jalan,kepulauan seribu,ringan,2025-04-05 23:09:30,0
trotoar gang melati runtuh dan menimbulkan lubang besar di pinggir jalan,trotoar,jakarta barat,berat,2025-01-06 13:31:08,2
saluran got di jalan meruya mampet total air meluap ke jalan,drainase,jakarta utara,sedang,2025-11-17 17:46:20,1
jalur kabel fiber di jalan warung buncit tidak tertata dengan baik,kabel fiber,jakarta utara,ringan,2025-08-10 08:35:54,0
jalur kabel fiber di jalan raya pasar minggu tidak tertata dengan baik mohon segera ditindaklanjuti,kabel fiber,jakarta timur,ringan,2025-10-02 12:06:44,0
kabel fiber jalan muara baru terlilit dan putus akibat kendaraan besar,kabel fiber,jakarta barat,sedang,2025-03-02 06:52:16,1
sistem drainase jalan raya pasar minggu kolaps total banjir mengancam pemukiman warga tolong segera ditangani,drainase,jakarta selatan,berat,2025-08-27 20:06:28,2
sambungan kabel fiber di jalan raya kembangan terputus layanan internet terganggu,kabel fiber,jakarta timur,sedang,2025-12-11 08:23:23,1
pagar jembatan di jalan hayam wuruk rusak dan membahayakan pejalan kaki,jembatan,jakarta barat,sedang,2025-09-18 08:22:01,1
ada kabel fiber di jalan sisingamangaraja yang pengikatnya lepas,kabel fiber,kepulauan seribu,ringan,2025-07-04 11:55:43,0
pagar jembatan di jalan gajah mada rusak dan membahayakan pejalaan kaki,jembatan,kepulauan seribu,sedang,2025-10-07 18:36:41,1
bunga di taman jln gunung sahari layu karena kurang air depan masjid,taman,jakarta barat,ringan,2025-11-18 05:49:18,0
kondisi trotoar gang dahlia sangat kritis dan bahaya bgt harus segera diperbaiki,trotoar,jakarta barat,berat,2025-06-11 21:32:31,2
saluran got jalan hayam wuruk mulai menyempit karena endapan,drainase,jakarta pusat,ringan,2025-12-15 02:24:39,0
satu lampu jalan di jalan warung buncit berkedip tidak stabil,lampu jalan,jakarta selatan,ringan,2025-05-15 20:09:55,0
beton jembatan jalan meruya patah sebagian sangat darurat,jembatan,jakarta selatan,berat,2025-03-21 10:26:40,2
jalan di jalan otista mulai retak namun masih bisa dilalui,jalan,jakarta utara,ringan,2025-10-19 12:54:58,0
lantai jembatan jalan mangga dua berlubang berbahaya bagi kendaraan,jembatan,jakarta utara,sedang,2025-02-03 05:21:14,1
pohon besar di taman jalan ahmad yani tumbang dan merusak fasilitas sekitar,taman,jakarta utara,berat,2025-06-11 20:18:45,2
longsor kecil merusak area tamaan jalan haji nawi secara parah depan masjid,taman,jakarta barat,berat,2025-05-20 20:25:17,2
tiang lampu jlan di jalan pluit miring cukup parah perlu segera diperbaiki,lampu jalan,jakarta pusat,sedang,2025-08-25 11:47:37,1
kabel fiber jalan ciledug raya melendut ke bawah perlu dirapikan,kabel fiber,kepulauan seribu,ringan,2025-09-15 13:10:11,0
beberapa pot tanaman di taman jalan sudirman retak kecil,taman,jakarta timur,ringan,2025-01-05 23:15:42,0
lampu jalan jalan kebon jeruk meledak dan membakar kabel di sekitarnya anak anak sering lewat sini,lampu jalan,jakarta pusat,berat,2025-05-31 23:44:47,2
lampu jalan jalan haji nawi meledak dan membakar kabel di sekitarnya,lampu jalan,kepulauan seribu,berat,2025-02-07 05:25:06,2
longsor kecil merusak area taman jalan hayam wuruk secara parah,taman,kepulauan seribu,berat,2025-02-03 15:35:03,2
ubin trotoar di jalan pangeran jayakarta mulai longgar tapi masih aman,trotoar,jakarta utara,ringan,2025-01-25 12:33:48,0
taman jalan mangga dua hancur dan perlu dibangun ulang dari awal,taman,jakarta utara,berat,2025-02-04 08:39:09,2
drainase gang anggrek jebol air membanjiri jalan dan rumah warga sekitar,drainase,jakarta pusat,berat,2025-02-21 12:19:14,2
lampu jalan jalan fatmawati meledak dan membakar kabel di sekitarnya,lampu jalan,jakarta pusat,berat,2025-04-24 09:28:40,2
taman jalan rasuna said sedikit kotor ada sampah berserakan,taman,kepulauan seribu,ringan,2025-03-05 16:53:10,0
taman jalan gatot subroto kondisi sangat kritis semua tanaman mati dan fasilitas hancur,taman,jakarta utara,berat,2025-01-02 21:22:55,2
aspal jalan jalan panjang retak ringan di beberapa titik,jalan,jakarta barat,ringan,2025-06-28 15:29:55,0
kabel fiber di jalan pramuka sedikit kendur perlu dikencangkan,kabel fiber,jakarta barat,ringan,2025-09-30 08:35:28,0
kerusakan parah di jalan gang dahlia kendaraan harus memutar jalan,jalan,jakarta pusat,berat,2025-03-31 22:34:11,2
terdapat lubang sangat besar di jalan jalan rasuna said membahayakan pengendara,jalan,jakarta barat,berat,2025-10-20 14:40:47,2
permukaan jalan jalan gunung sahari mengelupas sedikit,jalan,jakarta barat,ringan,2025-11-29 18:27:33,0
kabel fiber jl gunung sahari sedikit terkelupas di bagian sambungan tolong segera ditangani,kabel fiber,jakarta selatan,ringan,2025-11-21 17:19:58,0
trotoar jln daan mogot tidak bisa digunakan sama sekali kondisi darurat warga sekitar sudah mengeluh,trotoar,jakarta selatan,berat,2025-06-16 17:14:51,2
kabel fiber jalan sisingamangaraja mengurai dan menggantung di tengah jalan,kabel fiber,jakarta pusat,sedang,2025-02-15 09:23:26,1
ada kabel fiber di jalan pluit yang pengikatnya lepas,kabel fiber,jakarta timur,ringan,2025-05-05 09:00:00,0
retakan halus di aspal jalan jalan muara baru perlu perhatian,jalan,jakarta utara,ringan,2025-09-27 04:22:18,0
ada celah kecil di aspal jalan dekat jalan daan mogot,jalan,jakarta pusat,ringan,2025-08-18 00:44:59,0
banjir merendam taman jalan raya pasar minggu semua tanaman dan fasilitas rusak parah,taman,jakarta selatan,berat,2025-08-31 15:19:00,2
jalan gang mawar rusak dengan lubang berdiameter 5 cm,jalan,jakarta utara,sedang,2025-07-26 09:38:14,1
kondisi trotoar jalan ciledug raya sangat kritis dan berbahaya harus segera diperbaiki,trotoar,jakarta utara,berat,2025-01-18 11:12:26,2
tiang lampu jalan jalan gajah mada roboh bgtt bhs menghalangi jalan,lampu jalan,jakarta selatan,berat,2025-09-14 12:15:10,2
paving trotoar jalan cengkareng warnanya pudar perlu perawatan,trotoar,jakarta timur,ringan,2025-12-24 20:24:53,0
kabel fiber jalan ahmad yani melendut ke bawah perlu dirapikan,kabel fiber,jakarta barat,ringan,2025-07-08 08:05:27,0
bunga di taman jalan casablanca layu karena kurang air,taman,jakarta selatan,ringan,2025-11-08 16:48:51,0
jalan gang melati rusak sangat parah ada lubang besar mengancam jiwa 🙏,jalan,jakarta selatan,berat,2025-10-26 22:43:17,2
lantai jembatan gang dahlia berlubang berbahaya bagi kendaraan,jembatan,jakarta barat,sedang,2025-05-21 23:34:51,1
saluran induk drainase jalan pluit tersumbat total banjir meluas ke mana mana,drainase,jakarta pusat,berat,2025-05-14 06:54:04,2
bunga di taman gang melati layu karena kurang air,taman,jakarta utara,ringan,2025-03-05 09:07:40,0
tutup got di jalan raya bekasi hilang berbahaya bagi pejaln kaki,drainase,jakarta barat,sedang,2025-08-20 14:17:44,1
beberapa bata trotoar jalan pangeran jayakarta retak ringan,trotoar,jakarta pusat,ringan,2025-10-16 06:20:01,0
trotoar jalan pramuka russk parah pejaln kaki terpaksa jalan di badan jalan,trotoar,jakarta selatan,sedang,2025-03-02 17:01:11,1
seluruh lampu jalan di jalan mangga dua mati total dan tidak ada penerangan sama sekali,lampu jalan,jakarta selatan,berat,2025-02-10 08:08:45,2
kabel fiber jalan sudirman sedikit terkelupas di bagian sambungan,kabel fiber,jakarta timur,ringan,2025-08-24 00:14:05,0
bangku taman di jalan hayam wuruk rusak dan tidak bisa digunakan,taman,jakarta timur,sedang,2025-03-01 15:13:21,1
instalasi listrik lampu jalan jalan pluit terbakar sangat berbahaya,lampu jalan,jakarta barat,berat,2025-07-10 15:23:29,2
trotoar gang dahlia runtuh dan menimbulkan lubang besar di pinggir jalan,trotoar,jakarta utara,berat,2025-12-26 01:21:05,2
aspal jalan jalan kebon jeruk retak ringan di beberapa titik,jalan,jakarta utara,ringan,2025-03-02 08:49:25,0
trotoar gang anggrek perlu pengecatan ulang marka sudah pudar mohon segera ditindaklanjuti,trotoar,kepulauan seribu,ringan,2025-02-18 15:11:12,0
pagar jembatan di jalan ahmad yani rusak dan membahayakan pejalan kaki,jembatan,jakarta pusat,sedang,2025-05-27 12:53:00,1
taman jalan sudirman tidak bisa digunakan semua infrastruktur rusak berat,taman,jakarta pusat,berat,2025-02-25 22:15:24,2
jembatan jalan gajah mada terancam roboh akibat banjir besar melanda depan masjid,jembatan,jakarta utara,berat,2025-08-08 23:02:12,2
aspal jalan jalan raya pasar minggu retak ringan di beberapa titik,jalan,kepulauan seribu,ringan,2025-08-24 03:33:42,0
pondasi jembatan jalan rasuna said amblas darurat harus segera dievakuasi,jembatan,jakarta timur,berat,2025-04-16 12:43:19,2
sistem drainase jalan panjang kolaps total banjir mengancam pemukiman warga,drainase,jakarta selatan,berat,2025-06-06 20:46:02,2
permukaan jembatan jalan haji nawi mulai kasar dan tidak rata mohon bantuannya,jembatan,jakarta timur,ringan,2025-12-30 17:33:07,0
kabel fiber gang anggrek mengurai dan menggantung di tengah jalan,kabel fiber,jakarta utara,sedang,2025-05-16 20:19:12,1
trotoar jalan pangeran jayakarta runtuh parah akibat tanah longsor kecil,trotoar,jakarta barat,berat,2025-06-29 01:55:42,2
kabel fiber di jalan raya pasar minggu kondisinya kurang baik perlu pengecekan,kabel fiber,jakarta timur,ringan,2025-04-04 07:40:27,0
aspal di atas jembatan jalan warung buncit retak tipis perlu penambalan,jembatan,jakarta utara,ringan,2025-06-01 05:50:17,0
beberapa pot tanaman di taman gang mawar retak kecil,taman,jakarta utara,ringan,2025-10-04 12:50:15,0
lampu penerangan di jalan tb simatupang kurang terang perlu diganti,lampu jalan,jakarta selatan,ringan,2025-01-02 18:50:44,0
kabel fiber di jalan raya pasar minggu kondisinya kurang baik perlu pengecekan,kabel fiber,kepulauan seribu,ringan,2025-08-23 19:09:23,0
trotoar jalan kebon jeruk runtuh dan menimbulkan lubang besar di pinggir jalan,trotoar,jakarta selatan,berat,2025-02-08 05:31:05,2
paving block trotoar jalan meruya sedikit terangkat perlu diperbaiki,trotoar,kepulauan seribu,ringan,2025-11-20 10:59:48,0
pagar taman gang anggrek rusak di beberapa bagian,taman,jakarta timur,sedang,2025-11-02 01:22:41,1
got besar di jalan sisingamangaraja amblas menyebabkan jalan ikut rusak,drainase,jakarta utara,berat,2025-03-23 17:50:06,2
beberapa bata trotoar jalan tb simatupang retak ringan,trotoar,jakarta timur,ringan,2025-03-16 07:20:35,0
trotoar jalan mangga dua ambles dalam sangat berbahaya bagi semua pengguna jalan,trotoar,jakarta timur,berat,2025-11-25 11:51:57,2
tiang lampu jalan jalan otista patah miring hampir jatuh ke jalan,lampu jalan,jakarta timur,berat,2025-08-24 06:01:44,2
rumput taman jalan raya bekasi mulai tidak terawat perlu dipangkas mohon bantuannya ini jalan protokol yang ramai,taman,jakarta utara,ringan,2025-07-12 23:08:16,0
